date,es_train,es_synth,avg_wind_speed,es_diff,generator,synth_type
2024-06-15,81.06150665574924,90.50041304347937,5.764486805432356,9.438906387730128,No_Weather,Independent
2024-06-16,108.18200552207895,127.5357950304099,7.584623617596087,19.353789508330948,No_Weather,Independent
2024-06-17,127.86770705917746,144.799852511716,8.336614590883233,16.93214545253855,No_Weather,Independent
2024-06-18,197.0349197546837,219.82876973636527,10.823701388637232,22.793849981681575,No_Weather,Independent
2024-06-19,138.8257704158096,131.64592188030358,4.860870827134308,-7.179848535506011,No_Weather,Independent
2024-06-20,68.08238994215046,67.65196320588731,3.723666670007854,-0.43042673626314354,No_Weather,Independent
2024-06-21,79.67192828718515,90.05344443720807,5.732011802328938,10.381516150022918,No_Weather,Independent
2025-06-01,115.50581979191278,109.0422424965634,2.26530347196872,-6.463577295349381,No_Weather,Independent
2025-06-02,81.55941168946634,86.10400565422816,5.1028013854391245,4.544593964761816,No_Weather,Independent
2025-06-03,163.4286431096907,169.56221398780113,7.202834032020636,6.133570878110419,No_Weather,Independent
2025-06-04,222.0153883244385,210.18712057559506,4.995509026861829,-11.828267748843444,No_Weather,Independent
2025-06-05,105.30043685549319,99.83500022697811,3.1694375003920916,-5.465436628515079,No_Weather,Independent
2025-06-06,144.32367315905782,136.3652678462365,3.3348520863510203,-7.958405312821327,No_Weather,Independent
2025-06-07,208.09727420530885,200.40951785082976,5.450881947587349,-7.687756354479092,No_Weather,Independent
2025-06-08,131.55289648661176,126.78395119951384,3.616931249256912,-4.768945287097921,No_Weather,Independent
2025-06-09,176.2260720461653,166.97936539365796,3.4126513899051774,-9.246706652507356,No_Weather,Independent
2025-06-10,103.46848123177674,97.78858629023185,2.5790131939031884,-5.679894941544887,No_Weather,Independent
2025-06-11,83.60807241377628,83.19814248500663,3.8555875006209512,-0.4099299287696567,No_Weather,Independent
2025-06-12,84.63693273892827,80.41552263006389,3.8526513850963244,-4.221410108864376,No_Weather,Independent
2025-06-13,89.77380296174488,82.51535024879573,3.019093054884845,-7.2584527129491505,No_Weather,Independent
2025-06-14,142.41060261671345,137.92597854457662,5.164375689812005,-4.484624072136825,No_Weather,Independent
2025-06-15,115.7783459814342,110.29541523763106,3.7120569424800727,-5.482930743803138,No_Weather,Independent
2025-06-16,80.04892479909316,75.33156037286926,2.3108708321658553,-4.717364426223895,No_Weather,Independent
2025-06-17,138.70232296263038,140.97364065980966,6.598208329081535,2.2713176971792848,No_Weather,Independent
2025-06-18,161.48015434345535,155.67247870850778,5.390223613536613,-5.8076756349475716,No_Weather,Independent
2025-06-19,101.28429358335103,99.166554283294,3.608843054772447,-2.117739300057025,No_Weather,Independent
2025-06-20,115.86867303845204,130.08550035341764,7.009686111576045,14.216827314965599,No_Weather,Independent
2025-06-21,197.13739033797725,218.54367909317713,10.43589513533643,21.40628875519988,No_Weather,Independent
1994-06-01,76.55499057214035,66.63923279836462,5.174079168008431,-9.915757773775738,No_Weather,Consecutive
1994-06-02,73.30442385689841,77.65684646796026,4.3926958333287,4.352422611061854,No_Weather,Consecutive
1994-06-03,161.29285528134085,224.87369864503813,4.233190276080536,63.580843363697284,No_Weather,Consecutive
1994-06-04,97.2534220766374,117.67354699986203,4.186313886216121,20.42012492322462,No_Weather,Consecutive
1994-06-05,107.39031785227453,78.33332352332735,7.241473616328524,-29.056994328947184,No_Weather,Consecutive
1994-06-06,159.41064195902368,191.1055011402247,5.11680693630542,31.694859181201025,No_Weather,Consecutive
1994-06-07,114.27924689418816,105.86243064503634,6.672671530685498,-8.416816249151822,No_Weather,Consecutive
1994-06-08,211.8624549827594,249.1688249540128,7.724572917156754,37.30636997125339,No_Weather,Consecutive
1994-06-09,228.27122776454223,302.1343918742845,6.179847916298446,73.86316410974229,No_Weather,Consecutive
1994-06-10,152.19009116029054,207.77082615483914,4.345248612595933,55.58073499454861,No_Weather,Consecutive
1994-06-11,93.29950098160646,112.5804820034792,4.234724999508939,19.280981021872748,No_Weather,Consecutive
1994-06-12,79.26907582593483,64.20120657475456,5.632395832075042,-15.06786925118027,No_Weather,Consecutive
1994-06-13,144.34116785566152,99.11817470159079,9.04054028011032,-45.222993154070735,No_Weather,Consecutive
1994-06-14,215.9942100217374,164.01118866129252,11.221630559364966,-51.983021360444866,No_Weather,Consecutive
1994-06-15,193.73870854255068,146.31799859865242,10.618949312302789,-47.42070994389826,No_Weather,Consecutive
1994-06-16,175.6072835279425,137.64973176273995,10.079359025094242,-37.95755176520257,No_Weather,Consecutive
1994-06-18,78.38505944500915,93.57487373823415,4.230090972325874,15.189814293224998,No_Weather,Consecutive
1994-06-19,93.13913508422601,121.00582272588491,3.9546159749229757,27.8666876416589,No_Weather,Consecutive
1994-06-20,73.36107996297488,94.52159216402916,2.9828840296094588,21.160512201054274,No_Weather,Consecutive
1994-06-21,88.29974064930605,115.62719648621709,3.5148368029751658,27.327455836911042,No_Weather,Consecutive
1995-06-01,134.7643687751555,192.33041158334856,2.5143562479772523,57.56604280819306,No_Weather,Consecutive
1995-06-03,118.84734831149242,148.1099448296148,4.527987495499348,29.262596518122365,No_Weather,Consecutive
1995-06-04,120.43155249473139,113.7736444338571,6.092278478418785,-6.657908060874291,No_Weather,Consecutive
1995-06-05,127.29163075147159,134.52709794862164,5.193716667054434,7.235467197150058,No_Weather,Consecutive
1995-06-06,91.21895950457647,91.49926620201177,5.278988891115598,0.280306697435293,No_Weather,Consecutive
1995-06-07,92.85129123403391,81.27166111855712,5.993875001764136,-11.579630115476789,No_Weather,Consecutive
1995-06-08,183.74723208000745,200.4871287648412,7.600964595791372,16.739896684833752,No_Weather,Consecutive
1995-06-09,225.7540759203418,235.16833242730104,8.525689578304691,9.414256506959248,No_Weather,Consecutive
1995-06-10,244.13686066783856,325.03276041490386,5.534529169400525,80.8958997470653,No_Weather,Consecutive
1995-06-11,233.60662278775027,314.63398750672786,5.1330437507894295,81.0273647189776,No_Weather,Consecutive
1995-06-12,145.00272866852367,203.13912775165568,2.887049996904616,58.136399083132005,No_Weather,Consecutive
1995-06-13,83.53379016833188,83.72799406328315,5.0027138924432935,0.1942038949512721,No_Weather,Consecutive
1995-06-14,116.05640724136643,85.00811910583215,7.6838513831297695,-31.04828813553428,No_Weather,Consecutive
1995-06-15,109.5475916631379,78.39271403992015,7.441861104634096,-31.154877623217743,No_Weather,Consecutive
1995-06-16,84.46248378042296,62.90729519428777,6.30829584035608,-21.555188586135188,No_Weather,Consecutive
1995-06-17,82.95203672925433,81.08226014837084,5.236539591020996,-1.8697765808834959,No_Weather,Consecutive
1995-06-18,82.43407160371154,79.54632958430227,5.452481246656853,-2.8877420194092736,No_Weather,Consecutive
1995-06-19,71.6600424177071,69.00631646229564,4.949165974226256,-2.65372595541146,No_Weather,Consecutive
1995-06-20,73.30668883909419,72.83367813541062,4.955419446859101,-0.47301070368357045,No_Weather,Consecutive
1995-06-21,80.02184207387432,97.94620665913112,4.214841666445142,17.924364585256797,No_Weather,Consecutive
1996-06-01,186.72649168551158,238.76973667003534,5.282075695714194,52.04324498452377,No_Weather,Consecutive
1996-06-02,136.40865568971975,179.33195242719705,3.086253468423252,42.9232967374773,No_Weather,Consecutive
1996-06-03,157.7783100380443,219.78885664931897,3.620672910867466,62.01054661127466,No_Weather,Consecutive
1996-06-04,156.57695701726482,204.99696425628304,4.360381941331762,48.42000723901822,No_Weather,Consecutive
1996-06-05,124.89661886519923,115.92254897976821,6.655003473493791,-8.974069885431021,No_Weather,Consecutive
1996-06-06,210.37498506395298,256.3996516538527,5.932974307880643,46.02466658989971,No_Weather,Consecutive
1996-06-07,273.0835410082055,348.28158650180404,6.330084731098702,75.19804549359856,No_Weather,Consecutive
1996-06-08,260.9626883723821,343.7239294649754,5.953261108365329,82.76124109259331,No_Weather,Consecutive
1996-06-09,174.07087632017846,240.6340226019894,3.5139666751027105,66.56314628181093,No_Weather,Consecutive
1996-06-10,94.4129856743134,134.70602202047746,2.743564582760967,40.29303634616406,No_Weather,Consecutive
1996-06-11,72.8464117822588,88.76852784961346,3.5628097224256123,15.922116067354665,No_Weather,Consecutive
1996-06-12,82.720554643134,103.85164349852147,3.54942777922583,21.131088855387475,No_Weather,Consecutive
1996-06-13,83.05799527153584,103.08262091401244,3.722746526698273,20.024625642476593,No_Weather,Consecutive
1996-06-14,87.31911979565476,101.18005255115008,3.4357784678952523,13.860932755495327,No_Weather,Consecutive
1996-06-15,87.84804345109407,112.03101309205533,3.7331701396447143,24.18296964096126,No_Weather,Consecutive
1996-06-16,106.71288002908386,114.28389060069298,4.716563193976042,7.571010571609122,No_Weather,Consecutive
1996-06-17,201.77753538632533,249.92986515969284,4.670782637202898,48.15232977336751,No_Weather,Consecutive
1996-06-18,97.98440348048825,101.89960420365406,4.500180557287388,3.9152007231658104,No_Weather,Consecutive
1996-06-19,152.1780379526515,159.2238456517042,6.187337504244515,7.045807699052716,No_Weather,Consecutive
1996-06-20,135.27681914702237,133.2438423819768,7.0932624987429875,-2.032976765045561,No_Weather,Consecutive
1996-06-21,106.6655361331554,74.03768777174861,7.453672219316149,-32.62784836140679,No_Weather,Consecutive
1997-06-01,128.99928185981906,189.21195990901504,2.4127881934348894,60.21267804919597,No_Weather,Consecutive
1997-06-02,133.51045167548097,197.06213402549537,2.7823548624085017,63.5516823500144,No_Weather,Consecutive
1997-06-03,129.3495963448908,189.6551993225042,2.486463890845573,60.305602977613376,No_Weather,Consecutive
1997-06-04,154.3628254035769,205.78251011673586,4.431804164540439,51.41968471315897,No_Weather,Consecutive
1997-06-06,103.53930714793515,151.34830463896742,2.90628888516997,47.80899749103227,No_Weather,Consecutive
1997-06-07,103.1595608445042,143.72405973405137,2.990490970191441,40.56449888954717,No_Weather,Consecutive
1997-06-08,115.55895682393194,147.96552765681855,3.8768958285658037,32.406570832886615,No_Weather,Consecutive
1997-06-09,166.73185984694095,227.14748240637624,4.815953471677166,60.41562255943529,No_Weather,Consecutive
1997-06-10,157.3881835741588,225.78193395652676,4.223629167096487,68.39375038236795,No_Weather,Consecutive
1997-06-11,85.89453724530608,105.08928507225752,3.508502080684747,19.194747826951442,No_Weather,Consecutive
1997-06-12,99.07421862092073,97.26171718510449,5.865596528765231,-1.8125014358162446,No_Weather,Consecutive
1997-06-13,198.30096957134867,254.0698193935911,5.050572223795784,55.76884982224243,No_Weather,Consecutive
